Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
7830,Shot Chart Detail,21500167,447,201978,Chase Budinger,1610612754,Indiana Pacers,4,6,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-27,160,1,1,20151118,PHI,IND
7831,Shot Chart Detail,21500167,503,201978,Chase Budinger,1610612754,Indiana Pacers,4,2,19,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151118,PHI,IND
7832,Shot Chart Detail,21500167,516,201978,Chase Budinger,1610612754,Indiana Pacers,4,1,16,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,14,51,1,0,20151118,PHI,IND
7833,Shot Chart Detail,21500190,15,201978,Chase Budinger,1610612754,Indiana Pacers,1,10,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-68,159,1,0,20151121,IND,MIL
7834,Shot Chart Detail,21500190,31,201978,Chase Budinger,1610612754,Indiana Pacers,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,225,67,1,1,20151121,IND,MIL
7835,Shot Chart Detail,21500190,51,201978,Chase Budinger,1610612754,Indiana Pacers,1,7,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20151121,IND,MIL
7836,Shot Chart Detail,21500190,61,201978,Chase Budinger,1610612754,Indiana Pacers,1,6,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,0,1,1,20151121,IND,MIL
7837,Shot Chart Detail,21500190,448,201978,Chase Budinger,1610612754,Indiana Pacers,4,7,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,-1,1,0,20151121,IND,MIL
7838,Shot Chart Detail,21500190,453,201978,Chase Budinger,1610612754,Indiana Pacers,4,6,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-26,1,1,20151121,IND,MIL
7839,Shot Chart Detail,21500190,473,201978,Chase Budinger,1610612754,Indiana Pacers,4,3,41,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151121,IND,MIL
7840,Shot Chart Detail,21500190,486,201978,Chase Budinger,1610612754,Indiana Pacers,4,1,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,117,95,1,0,20151121,IND,MIL
7841,Shot Chart Detail,21500190,491,201978,Chase Budinger,1610612754,Indiana Pacers,4,0,18,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-16,1,0,20151121,IND,MIL
